"","dps","health_zone","province_shp","zs_id","hz_shp1","hz_shp2","dps_snis","hz_snis","hz_pnlp","dps_pnlp","V11","dps_sv","hz_sv"
"137","kasai","kitangwa","Kasai Occidental",462,"Kitangwa","Kitangwa","ks Kasai Province","ks Kitangwa Zone de Santé","kitangua","kasai","","ks Kasai","ks Kitangwa"
"138","kasai","luebo","Kasai Occidental",24,"Luebo","Luebo","ks Kasai Province","ks Luebo Zone de Santé","luebo","kasai","","ks Kasai","ks Luebo"
"139","kasai","mikope","Kasai Occidental",136,"Mikope","Mikope","ks Kasai Province","ks Mikope Zone de Santé","mikope","kasai","","ks Kasai","ks Mikope"
"140","kasai","mushenge","Kasai Occidental",38,"Mushenge","Mushenge","ks Kasai Province","ks Mushenge Zone de Santé","mushenge","kasai","","ks Kasai","ks Mushenge"
"141","kasai","mutenna","Kasai Occidental",13,"Mutenna","Mutena","ks Kasai Province","ks Mutena Zone de Santé","mutena","kasai","","ks Kasai","ks Mutena"
"142","kasai","mweka","Kasai Occidental",29,"Mweka","Mweka","ks Kasai Province","ks Mweka Zone de Santé","mweka","kasai","","ks Kasai","ks Mweka"
"143","kasai","ndjoko-punda","Kasai Occidental",23,"Ndjoko Punda","Ndjoku Punda","ks Kasai Province","ks Ndjoko Mpunda Zone de Santé","ndjoko mpunda","kasai","","ks Kasai","ks Ndjoko Mpunda"
"144","kasai","nyanga","Kasai Occidental",7,"Nyanga","Nyanga","ks Kasai Province","ks Nyanga Zone de Santé","nyanga","kasai","","ks Kasai","ks Nyanga"
"145","kasai","tshikapa","Kasai Occidental",285,"Tshikapa","Tshikapa","ks Kasai Province","ks Tshikapa Zone de Santé","tshikapa","kasai","","ks Kasai","ks Tshikapa"
"146","kasai-central","bena-leke","Kasai Occidental",28,"Bena Leke","Bena-leka","kr Kasai Central Province","kr Bena Leka Zone de Santé","bena leka","kasai central","","kr Kasai Central","kr Bena Leka"
"147","kasai-central","bena-tshadi",NA,NA,NA,NA,"kr Kasai Central Province","kr Bena Tshadi Zone de Santé","benatshiadi","kasai central","","kr Kasai Central","kr Bena Tshadi"
"148","kasai-central","bilonda","Kasai Occidental",17,"Bilonda","Bilomba","kr Kasai Central Province","kr Bilomba Zone de Santé","bilomba","kasai central","","kr Kasai Central","kr Bilomba"
"149","kasai-central","bobozo","Kasai Occidental",330,"Bobozo","Bobozo","kr Kasai Central Province","kr Bobozo Zone de Santé","bobozo","kasai central","","kr Kasai Central","kr Bobozo"
"150","kasai-central","bukonde","Kasai Occidental",18,"Bukonde","Bukonde","kr Kasai Central Province","kr Bunkonde Zone de Santé","bunkonde","kasai central","","kr Kasai Central","kr Bunkonde"
"151","kasai-central","demba","Kasai Occidental",27,"Demba","Demba","kr Kasai Central Province","kr Demba Zone de Santé","demba","kasai central","","kr Kasai Central","kr Demba"
"152","kasai-central","dibaya","Kasai Occidental",34,"Dibaya","Dibaya","kr Kasai Central Province","kr Dibaya Zone de Santé","dibaya","kasai central","","kr Kasai Central","kr Dibaya"
"153","kasai-central","kalomda","Kasai Occidental",6,"Kalomda","Kalomda","kr Kasai Central Province","kr Kalomba Zone de Santé","kalomba","kasai central","","kr Kasai Central","kr Kalomba"
"154","kasai-central","kananga","Kasai Occidental",288,"Kananga","Kananga","kr Kasai Central Province","kr Kananga Zone de Santé","kananga","kasai central","","kr Kasai Central","kr Kananga"
"155","kasai-central","katende","Kasai Occidental",32,"Katende","Katende","kr Kasai Central Province","kr Katende Zone de Santé","katende","kasai central","","kr Kasai Central","kr Katende"
"156","kasai-central","katoka","Kasai Occidental",286,"Katoka","Katoka","kr Kasai Central Province","kr Katoka Zone de Santé","katoka","kasai central","","kr Kasai Central","kr Katoka"
"157","kasai-central","luambo","Kasai Occidental",12,"Luambo","Luambo","kr Kasai Central Province","kr Luambo Zone de Santé","luambo","kasai central","","kr Kasai Central","kr Luambo"
"158","kasai-central","lubondaie","Kasai Occidental",33,"Lubondaie","Lubondayi","kr Kasai Central Province","kr Lubondaie Zone de Santé","lubondaie","kasai central","","kr Kasai Central","kr Lubondaie"
"159","kasai-central","lubunga","Kasai Occidental",35,"Lubunga","Lubunga","kr Kasai Central Province","kr Lubunga Zone de Santé","lubunga","kasai central","","kr Kasai Central","kr Lubunga"
"160","kasai-central","lubunga","Province Oriental",332,"Lubunga","Lubunga","kr Kasai Central Province","kr Lubunga Zone de Santé","lubunga","kasai central","","kr Kasai Central","kr Lubunga"
"161","kasai-central","luiza","Kasai Occidental",16,"Luiza","Luiza","kr Kasai Central Province","kr Luiza Zone de Santé","luiza","kasai central","","kr Kasai Central","kr Luiza"
"162","kasai-central","lukonga","Kasai Occidental",287,"Lukonga","Lukonga","kr Kasai Central Province","kr Lukonga Zone de Santé","lukonga","kasai central","","kr Kasai Central","kr Lukonga"
"163","kasai-central","mikalayi","Kasai Occidental",25,"Mikalayi","Mikalayi","kr Kasai Central Province","kr Mikalayi Zone de Santé","mikalayi","kasai central","","kr Kasai Central","kr Mikalayi"
"164","kasai-central","musuika","Kasai Occidental",10,"Musuika","Masuika","kr Kasai Central Province","kr Masuika Zone de Santé","masuika","kasai central","","kr Kasai Central","kr Masuika"
"165","kasai-central","mutoto","Kasai Occidental",26,"Mutoto","Mutoto","kr Kasai Central Province","kr Mutoto Zone de Santé","mutoto","kasai central","","kr Kasai Central","kr Mutoto"
"166","kasai-central","mwetshi","Kasai Occidental",36,"Mwetshi","Muetshi","kr Kasai Central Province","kr Muetshi Zone de Santé","mwetshi","kasai central","","kr Kasai Central","kr Muetshi"
"167","kasai-central","ndekesha","Kasai Occidental",14,"Ndekesha","Ndekesha","kr Kasai Central Province","kr Ndekesha Zone de Santé","ndekesha","kasai central","","kr Kasai Central","kr Ndekesha"
"168","kasai-central","ndesha","Kasai Occidental",20,"Ndesha","Ndesha","kr Kasai Central Province","kr Ndesha Zone de Santé","ndesha","kasai central","","kr Kasai Central","kr Ndesha"
"169","kasai-central","tshibala","Kasai Occidental",15,"Tshibala","Tshibala","kr Kasai Central Province","kr Tshibala Zone de Santé","tshibala","kasai central","","kr Kasai Central","kr Tshibala"
"170","kasai-central","tshikaji","Kasai Occidental",289,"Tshikaji","Tshikaji","kr Kasai Central Province","kr Tshikaji Zone de Santé","tshikaji","kasai central","","kr Kasai Central","kr Tshikaji"
"171","kasai-central","tshikula","Kasai Occidental",19,"Tshikula","Tshikula","kr Kasai Central Province","kr Tshikula Zone de Santé","tshikula","kasai central","","kr Kasai Central","kr Tshikula"
"172","kasai-central","yangala","Kasai Occidental",11,"Yangala","Yangala","kr Kasai Central Province","kr Yangala Zone de Santé","yangala","kasai central","","kr Kasai Central","kr Yangala"
"173","kasai-oriental","bibanga","Kasai Oriental",89,"Bibanga","Bibanga","ke Kasai Oriental Province","ke Bibanga Zone de Santé","bibanga","kasai oriental","","ke Kasai Oriental","ke Bibanga"
"174","kasai-oriental","bimpemba","Kasai Oriental",74,"Bimpemba","Bipemba","ke Kasai Oriental Province","ke Bipemba Zone de Santé","bimpemba","kasai oriental","","ke Kasai Oriental","ke Bipemba"
"175","kasai-oriental","bonzola","Kasai Oriental",68,"Bonzola","Bonzola","ke Kasai Oriental Province","ke Bonzola Zone de Santé","bonzola","kasai oriental","","ke Kasai Oriental","ke Bonzola"
"176","kasai-oriental","dibindi","Kasai Oriental",70,"Dibindi","Dibindi","ke Kasai Oriental Province","ke Dibindi Zone de Santé","dibindi","kasai oriental","","ke Kasai Oriental","ke Dibindi"
"177","kasai-oriental","diulu","Kasai Oriental",75,"Diulu","Diulu","ke Kasai Oriental Province","ke Diulu Zone de Santé","diulu","kasai oriental","","ke Kasai Oriental","ke Diulu"
"178","kasai-oriental","kabeya-kamuanga","Kasai Oriental",39,"Kabeya Kamuanga","Kabeya-Kamuanga","ke Kasai Oriental Province","ke Kabeya Kamwanga Zone de Santé","kabeya kamwanga","kasai oriental","","ke Kasai Oriental","ke Kabeya Kamwanga"
"179","kasai-oriental","kansele","Kasai Oriental",71,"Kansele","Kansele","ke Kasai Oriental Province","ke Kansele Zone de Santé","kansele","kasai oriental","","ke Kasai Oriental","ke Kansele"
"180","kasai-oriental","kasansa","Kasai Oriental",83,"Kasansa","Kasansa","ke Kasai Oriental Province","ke Kasansa Zone de Santé","kasansa","kasai oriental","","ke Kasai Oriental","ke Kasansa"
"181","kasai-oriental","lubilanji","Kasai Oriental",69,"Lubilanji","Lubilanji","ke Kasai Oriental Province","ke Lubilanji Zone de Santé","lubilanji","kasai oriental","","ke Kasai Oriental","ke Lubilanji"
"182","kasai-oriental","lukelenge","Kasai Oriental",72,"Lukelenge","Lukalenge","ke Kasai Oriental Province","ke Lukelenge Zone de Santé","lukelenge","kasai oriental","","ke Kasai Oriental","ke Lukelenge"
"183","kasai-oriental","miabi","Kasai Oriental",66,"Miabi","Miabi","ke Kasai Oriental Province","ke Miabi Zone de Santé","miabi","kasai oriental","","ke Kasai Oriental","ke Miabi"
"184","kasai-oriental","mpokolo","Kasai Oriental",76,"Mpokolo","Mpokolo","ke Kasai Oriental Province","ke Mpokolo Zone de Santé","mpokolo","kasai oriental","","ke Kasai Oriental","ke Mpokolo"
"185","kasai-oriental","mukumbi","Kasai Oriental",88,"Mukumbi","Mukumbi","ke Kasai Oriental Province","ke Mukumbi Zone de Santé","mukumbi","kasai oriental","","ke Kasai Oriental","ke Mukumbi"
"186","kasai-oriental","muya","Kasai Oriental",73,"Muya","Muya","ke Kasai Oriental Province","ke Muya Zone de Santé","muya","kasai oriental","","ke Kasai Oriental","ke Muya"
"187","kasai-oriental","nzaba","Kasai Oriental",67,"Nzaba","Nzaba","ke Kasai Oriental Province","ke Nzaba Zone de Santé","nzaba","kasai oriental","","ke Kasai Oriental","ke Nzaba"
"188","kasai-oriental","tshilenge","Kasai Oriental",86,"Tshilenge","Tshilenge","ke Kasai Oriental Province","ke Tshilenge Zone de Santé","tshilenge","kasai oriental","","ke Kasai Oriental","ke Tshilenge"
"189","kasai-oriental","tshilundu","Kasai Oriental",80,"Tshilundu","Cilundu","ke Kasai Oriental Province","ke Cilundu Zone de Santé","cilundu","kasai oriental","","ke Kasai Oriental","ke Cilundu"
"190","kasai-oriental","tshitenge","Kasai Oriental",87,"Tshitenge","Citenge","ke Kasai Oriental Province","ke Citenge Zone de Santé","tshitenge","kasai oriental","","ke Kasai Oriental","ke Citenge"
"191","kasai-oriental","tshitshimbi","Kasai Oriental",81,"Tshitshimbi","Tshishimbi","ke Kasai Oriental Province","ke Tshishimbi Zone de Santé","tshitshimbi","kasai oriental","","ke Kasai Oriental","ke Tshishimbi"
"192","kinshasa","bandalungwa","Kinshasa",261,"Bandalungwa","Bandalungwa","kn Kinshasa Province","kn Bandalungwa Zone de Santé","bandal","kinshasa","","kn Kinshasa","kn Bandalungwa"
"193","kinshasa","barumbu","Kinshasa",253,"Barumbu","Barumbu","kn Kinshasa Province","kn Barumbu Zone de Santé","barumbu","kinshasa","","kn Kinshasa","kn Barumbu"
"194","kinshasa","binza-metéo","Kinshasa",270,"Binza_Metéo","Binza-Météo","kn Kinshasa Province","kn Binza Meteo Zone de Santé","binza m","kinshasa","","kn Kinshasa","kn Binza Meteo"
"195","kinshasa","binza-ozone","Kinshasa",271,"Binza_Ozone","Binza-Ozone","kn Kinshasa Province","kn Binza Ozone Zone de Santé","binza o","kinshasa","","kn Kinshasa","kn Binza Ozone"
"196","kinshasa","biyela","Kinshasa",247,"Biyela","Biyela","kn Kinshasa Province","kn Biyela Zone de Santé","biyela","kinshasa","","kn Kinshasa","kn Biyela"
"197","kinshasa","bumbu","Kinshasa",258,"Bumbu","Bumbu","kn Kinshasa Province","kn Bumbu Zone de Santé","bumbu","kinshasa","","kn Kinshasa","kn Bumbu"
"198","kinshasa","gombe","Kinshasa",263,"Gombe","Gombe","kn Kinshasa Province","kn Gombe Zone de Santé","gombe","kinshasa","","kn Kinshasa","kn Gombe"
"199","kinshasa","kalamu-i","Kinshasa",257,"Kalamu I","Kalamu I","kn Kinshasa Province","kn Kalamu 1 Zone de Santé","kalamu 1","kinshasa","","kn Kinshasa","kn Kalamu 1"
"200","kinshasa","kalamu-ii","Kinshasa",256,"Kalamu II","Kalamu II","kn Kinshasa Province","kn Kalamu 2 Zone de Santé","kalamu 2","kinshasa","","kn Kinshasa","kn Kalamu 2"
"201","kinshasa","kasa-vubu","Kinshasa",268,"Kasa_Vubu","Kasa-Vubu","kn Kinshasa Province","kn Kasa Vubu Zone de Santé","kasa vub","kinshasa","","kn Kinshasa","kn Kasa Vubu"
"202","kinshasa","kikimi","Kinshasa",248,"Kikimi","Kikimi","kn Kinshasa Province","kn Kikimi Zone de Santé","kikimi","kinshasa","","kn Kinshasa","kn Kikimi"
"203","kinshasa","kimbanseke","Kinshasa",291,"Kimbanseke","Kimbanseke","kn Kinshasa Province","kn Kimbanseke Zone de Santé","kimbanseke","kinshasa","","kn Kinshasa","kn Kimbanseke"
"204","kinshasa","kingabwa","Kinshasa",264,"Kingabwa","Kingabwa","kn Kinshasa Province","kn Kingabwa Zone de Santé","kingabwa","kinshasa","","kn Kinshasa","kn Kingabwa"
"205","kinshasa","kingasani","Kinshasa",290,"Kingasani","Kingasani","kn Kinshasa Province","kn Kingasani Zone de Santé","kingasani","kinshasa","","kn Kinshasa","kn Kingasani"
"206","kinshasa","kinshasa","Kinshasa",254,"Kinshasa","Kinshasa","kn Kinshasa Province","kn Kinshasa Zone de Santé","kinshasa","kinshasa","","kn Kinshasa","kn Kinshasa"
"207","kinshasa","kintambo","Kinshasa",267,"Kintambo","Kintambo","kn Kinshasa Province","kn Kintambo Zone de Santé","kintambo","kinshasa","","kn Kinshasa","kn Kintambo"
"208","kinshasa","kisenso","Kinshasa",251,"Kisenso","Kisenso","kn Kinshasa Province","kn Kisenso Zone de Santé","kisenso","kinshasa","","kn Kinshasa","kn Kisenso"
"209","kinshasa","kokolo","Kinshasa",328,"Kokolo","Kokolo","kn Kinshasa Province","kn Kokolo Zone de Santé","kokolo","kinshasa","","kn Kinshasa","kn Kokolo"
"210","kinshasa","lemba","Kinshasa",249,"Lemba","Lemba","kn Kinshasa Province","kn Lemba Zone de Santé","lemba","kinshasa","","kn Kinshasa","kn Lemba"
"211","kinshasa","limeté","Kinshasa",255,"Limeté","Limeté","kn Kinshasa Province","kn Limete Zone de Santé","limete","kinshasa","","kn Kinshasa","kn Limete"
"212","kinshasa","lingwala","Kinshasa",252,"Lingwala","Lingwala","kn Kinshasa Province","kn Lingwala Zone de Santé","lingwala","kinshasa","","kn Kinshasa","kn Lingwala"
"213","kinshasa","makala","Kinshasa",259,"Makala","Makala","kn Kinshasa Province","kn Makala Zone de Santé","makala","kinshasa","","kn Kinshasa","kn Makala"
"214","kinshasa","maluku-i","Kinshasa",272,"Maluku I","Maluku I","kn Kinshasa Province","kn Maluku 1 Zone de Santé","maluku1","kinshasa","","kn Kinshasa","kn Maluku 1"
"215","kinshasa","maluku-ii","Kinshasa",410,"Maluku II","Maluku II","kn Kinshasa Province","kn Maluku 2 Zone de Santé","maluku2","kinshasa","","kn Kinshasa","kn Maluku 2"
"216","kinshasa","masina-i","Kinshasa",266,"Masina I","Masina I","kn Kinshasa Province","kn Masina 1 Zone de Santé","masina1","kinshasa","","kn Kinshasa","kn Masina 1"
"217","kinshasa","masina-ii","Kinshasa",265,"Masina II","Masina II","kn Kinshasa Province","kn Masina 2 Zone de Santé","masina2","kinshasa","","kn Kinshasa","kn Masina 2"
"218","kinshasa","matete","Kinshasa",250,"Matete","Matete","kn Kinshasa Province","kn Matete Zone de Santé","matete","kinshasa","","kn Kinshasa","kn Matete"
"219","kinshasa","mont-ngafula-i","Kinshasa",246,"Mont Ngafula I","Mont-Ngafula I","kn Kinshasa Province","kn Mont Ngafula 1 Zone de Santé","mont nga1","kinshasa","","kn Kinshasa","kn Mont Ngafula 1"
"220","kinshasa","mont-ngafula-ii","Kinshasa",274,"Mont Ngafula II","Mont-Ngafula II","kn Kinshasa Province","kn Mont Ngafula 2 Zone de Santé","mont nga 2","kinshasa","","kn Kinshasa","kn Mont Ngafula 2"
"221","kinshasa","ndjili","Kinshasa",245,"Ndjili","Ndjili","kn Kinshasa Province","kn Ndjili Zone de Santé","ndjili","kinshasa","","kn Kinshasa","kn Ndjili"
"222","kinshasa","ngaba","Kinshasa",260,"Ngaba","Ngaba","kn Kinshasa Province","kn Ngaba Zone de Santé","ngaba","kinshasa","","kn Kinshasa","kn Ngaba"
"223","kinshasa","ngiri-ngiri","Kinshasa",269,"Ngiri_Ngiri","Ngiri-Ngiri","kn Kinshasa Province","kn Ngiri Ngiri Zone de Santé","ngiri ngiri","kinshasa","","kn Kinshasa","kn Ngiri Ngiri"
"224","kinshasa","nsele","Kinshasa",276,"Nsele","Nsele","kn Kinshasa Province","kn Nsele Zone de Santé","nsele","kinshasa","","kn Kinshasa","kn Nsele"
"225","kinshasa","police","Kinshasa",329,"Police","Police","kn Kinshasa Province","kn Police Zone de Santé","police","kinshasa","","kn Kinshasa","kn Police"
"226","kinshasa","selembao","Kinshasa",262,"Selembao","Selembao","kn Kinshasa Province","kn Selembao Zone de Santé","selembao","kinshasa","","kn Kinshasa","kn Selembao"
"227","kongo-central","boko-kivulu","Bas-Congo",130,"Boko Kivulu","Boko-Kivulu","kc Kongo Central Province","kc Boko Kivulu Zone de Santé","boko kivulu","bas congo","","kc Kongo Central","kc Boko Kivulu"
"228","kongo-central","boma","Bas-Congo",117,"Boma","Boma","kc Kongo Central Province","kc Boma Zone de Santé","boma","bas congo","","kc Kongo Central","kc Boma"
"229","kongo-central","boma-bungu","Bas-Congo",118,"Boma Bungu","Boma Bungu","kc Kongo Central Province","kc Boma Bungu Zone de Santé","boma bungu","bas congo","","kc Kongo Central","kc Boma Bungu"
"230","kongo-central","gombe-matadi","Bas-Congo",417,"Gombe Matadi","Gombe-Matadi","kc Kongo Central Province","kc Gombe Matadi Zone de Santé","gombe matadi","bas congo","","kc Kongo Central","kc Gombe Matadi"
"231","kongo-central","inga","Bas-Congo",120,"Inga","Inga","kc Kongo Central Province","kc Inga Zone de Santé","inga","bas congo","","kc Kongo Central","kc Inga"
"232","kongo-central","kangu","Bas-Congo",413,"Kangu","Kangu","kc Kongo Central Province","kc Kangu Zone de Santé","kangu","bas congo","","kc Kongo Central","kc Kangu"
"233","kongo-central","kibunzi","Bas-Congo",125,"Kibunzi","Kibunzi","kc Kongo Central Province","kc Kibunzi Zone de Santé","kibunzi","bas congo","","kc Kongo Central","kc Kibunzi"
"234","kongo-central","kimpangu","Bas-Congo",127,"Kimpangu","Kimpangu","kc Kongo Central Province","kc Kimpangu Zone de Santé","kimpangu","bas congo","","kc Kongo Central","kc Kimpangu"
"235","kongo-central","kimpese","Bas-Congo",411,"Kimpese","Kimpese","kc Kongo Central Province","kc Kimpese Zone de Santé","kimpese","bas congo","","kc Kongo Central","kc Kimpese"
"236","kongo-central","kimvula","Bas-Congo",409,"Kimvula","Kimvula","kc Kongo Central Province","kc Kimvula Zone de Santé","kimvula","bas congo","","kc Kongo Central","kc Kimvula"
"237","kongo-central","kinkonzi","Bas-Congo",415,"Kinkonzi","Kinkonzi","kc Kongo Central Province","kc Kinkonzi Zone de Santé","kinkonzi","bas congo","","kc Kongo Central","kc Kinkonzi"
"238","kongo-central","kisantu","Bas-Congo",133,"Kisantu","Kisantu","kc Kongo Central Province","kc Kisantu Zone de Santé","kisantu","bas congo","","kc Kongo Central","kc Kisantu"
"239","kongo-central","kitona","Bas-Congo",116,"Kitona","Kitona","kc Kongo Central Province","kc Kitona Zone de Santé","kitona","bas congo","","kc Kongo Central","kc Kitona"
"240","kongo-central","kizu","Bas-Congo",124,"Kizu","Kizu","kc Kongo Central Province","kc Kizu Zone de Santé","kizu","bas congo","","kc Kongo Central","kc Kizu"
"241","kongo-central","kuimba","Bas-Congo",414,"Kuimba","Kuimba","kc Kongo Central Province","kc Kuimba Zone de Santé","kwimba","bas congo","","kc Kongo Central","kc Kuimba"
"242","kongo-central","kwilu-ngongo","Bas-Congo",132,"Kwilu Ngongo","Kwilu-Ngongo","kc Kongo Central Province","kc Kwilu Ngongo Zone de Santé","kwilu ngongo","bas congo","","kc Kongo Central","kc Kwilu Ngongo"
"243","kongo-central","lukula","Bas-Congo",121,"Lukula","Lukula","kc Kongo Central Province","kc Lukula Zone de Santé","lukula","bas congo","","kc Kongo Central","kc Lukula"
"244","kongo-central","luozi","Bas-Congo",126,"Luozi","Luozi","kc Kongo Central Province","kc Luozi Zone de Santé","luozi","bas congo","","kc Kongo Central","kc Luozi"
"245","kongo-central","mangembo","Bas-Congo",416,"Mangembo","Mangembo","kc Kongo Central Province","kc Mangembo Zone de Santé","mangembo","bas congo","","kc Kongo Central","kc Mangembo"
"246","kongo-central","massa","Bas-Congo",418,"Massa","Masa","kc Kongo Central Province","kc Massa Zone de Santé","masa","bas congo","","kc Kongo Central","kc Massa"
"247","kongo-central","matadi","Bas-Congo",243,"Matadi","Matadi","kc Kongo Central Province","kc Matadi Zone de Santé","matadi","bas congo","","kc Kongo Central","kc Matadi"
"248","kongo-central","mbanza-ngungu","Bas-Congo",131,"Mbanza Ngungu","Mbanza-Ngungu","kc Kongo Central Province","kc Mbanza Ngungu Zone de Santé","mbanza ngungu","bas congo","","kc Kongo Central","kc Mbanza Ngungu"
"249","kongo-central","moanda","Bas-Congo",115,"Moanda","Muanda","kc Kongo Central Province","kc Muanda Zone de Santé","muanda","bas congo","","kc Kongo Central","kc Muanda"
"250","kongo-central","ngidinga","Bas-Congo",128,"Ngidinga","Ngidinga","kc Kongo Central Province","kc Ngidinga Zone de Santé","ngidinga","bas congo","","kc Kongo Central","kc Ngidinga"
"251","kongo-central","nselo","Bas-Congo",129,"Nselo","Nselo","kc Kongo Central Province","kc Nselo Zone de Santé","nselo","bas congo","","kc Kongo Central","kc Nselo"
"252","kongo-central","nzanza","Bas-Congo",244,"Nzanza","Nzanza","kc Kongo Central Province","kc Nzanza Zone de Santé","nzanza","bas congo","","kc Kongo Central","kc Nzanza"
"253","kongo-central","seke-banza","Bas-Congo",119,"Seke Banza","Sekebanza","kc Kongo Central Province","kc Seke Banza Zone de Santé","seke banza","bas congo","","kc Kongo Central","kc Seke Banza"
"254","kongo-central","sona-bata","Bas-Congo",275,"Sona Bata","Sona-Bata","kc Kongo Central Province","kc Sona Bata Zone de Santé","sona bata","bas congo","","kc Kongo Central","kc Sona Bata"
"255","kongo-central","sona-pangu","Bas-Congo",412,"Sona Pangu","Nsona-Pangu","kc Kongo Central Province","kc Nsona Mpangu Zone de Santé","nsona mpangu","bas congo","","kc Kongo Central","kc Nsona Mpangu"
"256","kongo-central","tshela","Bas-Congo",122,"Tshela","Tshela","kc Kongo Central Province","kc Tshela Zone de Santé","tshela","bas congo","","kc Kongo Central","kc Tshela"
"257","kongo-central","vaku","Bas-Congo",123,"Vaku","Vaku","kc Kongo Central Province","kc Vaku Zone de Santé","vaku","bas congo","","kc Kongo Central","kc Vaku"
"258","kwango","boko","Bandundu",160,"Boko","Boko","kg Kwango Province","kg Boko Zone de Santé","boko","kwango","","kg Kwango","kg Boko"
"259","kwango","feshi","Bandundu",152,"Feshi","Feshi","kg Kwango Province","kg Feshi Zone de Santé","feshi","kwango","","kg Kwango","kg Feshi"
"260","kwango","kahemba","Bandundu",460,"Kahemba","Kahemba","kg Kwango Province","kg Kahemba Zone de Santé","kahemba","kwango","","kg Kwango","kg Kahemba"
"261","kwango","kajiji","Bandundu",150,"Kajiji","Kajiji","kg Kwango Province","kg Kajiji Zone de Santé","kajiji","kwango","","kg Kwango","kg Kajiji"
