"","health_zone","dps","province_shp","zs_id","hz_shp1","hz_shp2","dps_snis","hz_snis","hz_pnlp","dps_pnlp","hz_snis_cleaned","hz_pnlt"
"1","aba","haut-uele","Province Oriental","442","Aba","Aba","hu Haut Uele Province","hu Aba Zone de Santé","aba","haut-uele","aba","aba"
"2","abuzi","nord-ubangi","Equateur","391","Abuzi","Abuzi","nu Nord Ubangi Province","nu Abuzi Zone de Santé","abuzi","nord ubangi","abuzi","abuzi"
"3","adi","ituri","Province Oriental","445","Adi","Adi","it Ituri Province","it Adi Zone de Santé","adi","ituri","adi","adi"
"4","adia","ituri","Province Oriental","221","Adia","Adja","it Ituri Province","it Adja Zone de Santé","adja","ituri","adja","adja"
"5","aketi","bas-uele","Province Oriental","388","Aketi","Aketi","bu Bas Uele Province","bu Aketi Zone de Santé","aketi","bas-uele","aketi","aketi"
"6","alimbongo","nord-kivu","Nord Kivu","64","Alimbongo","NA","nk Nord Kivu Province","nk Alimbongo Zone de Santé","alimbongo","nord kivu","alimbongo",NA
"7","alunguli","maniema","Maniema","327","Alunguli","Alunguli","mn Maniema Province","mn Alunguli Zone de Santé","alunguli","maniema","alunguli","alunguli"
"8","ango","bas-uele","Province Oriental","438","Ango","Ango","bu Bas Uele Province","bu Ango Zone de Santé","ango","bas-uele","ango","ango"
"9","angumu","ituri","Province Oriental","279","Angumu","Angumu","it Ituri Province","it Angumu Zone de Santé","angumu","ituri","angumu","angumu"
"10","ankoro","tanganyika","Katanga","476","Ankoro","Ankoro","tn Tanganyika Province","tn Ankoro Zone de Santé","ankoro","tanganyika","ankoro","ankoro"
"11","ariwara","ituri","Province Oriental","219","Ariwara","Ariwara","it Ituri Province","it Ariwara Zone de Santé","ariwara","ituri","ariwara","ariwara"
"12","aru","ituri","Province Oriental","220","Aru","Aru","it Ituri Province","it Aru Zone de Santé","aru","ituri","aru","aru"
"13","aungba","ituri","Province Oriental","223","Aungba","Aungba","it Ituri Province","it Aungba Zone de Santé","aungba","ituri","aungba","aungba"
"14","bafale","tshuapa","Equateur","4","Bafale","Befale","tu Tshuapa Province","tu Befale Zone de Santé","befale","tshuapa","befale","befale"
"15","bafwabogbo","tshopo","Province Oriental","215","Bafwabogbo","Bafwagbogbo","tp Tshopo Province","tp Bafwagbogbo Zone de Santé","bafwagbogbo","tshopo","bafwagbogbo","bafwagbogbo"
"16","bafwasende","tshopo","Province Oriental","214","Bafwasende","Bafwasende","tp Tshopo Province","tp Bafwasende Zone de Santé","bafwasende","tshopo","bafwasende","bafwasende"
"17","bagata","kwilu","Bandundu","148","Bagata","Bagata","kl Kwilu Province","kl Bagata Zone de Santé","bagata","kwilu","bagata","bagata"
"18","bagira-kasha","sud-kivu","Sud Kivu","234","Bagira Kasha","Bagira-Kasha","sk Sud Kivu Province","sk Bagira Zone de Santé","bagira","sud kivu","bagira",NA
"19","bambo","nord-kivu","Nord Kivu","107","Bambo","NA","nk Nord Kivu Province","nk Bambo Zone de Santé","bambo","nord kivu","bambo",NA
"20","bambu","0","Province Oriental","182","Bambu","Bambu-Mines","NA","NA","bambu","0",NA,"bambu"
"21","bambu","ituri","Province Oriental","182","Bambu","Bambu-Mines","it Ituri Province","it Bambu Zone de Santé","bambu","ituri","bambu","bambu"
"22","banalia","tshopo","Province Oriental","213","Banalia","Banalia","tp Tshopo Province","tp Banalia Zone de Santé","banalia","tshopo","banalia","banalia"
"23","bandalungwa","kinshasa","Kinshasa","261","Bandalungwa","Bandalungwa","kn Kinshasa Province","kn Bandalungwa Zone de Santé","bandal","kinshasa","bandalungwa",NA
"24","bandjau","mai-ndombe","Bandundu","166","Bandjau","Banjow Moke","md Maindombe Province","md Banzow Moke Zone de Santé","bandjow","mai-ndombe","banzow-moke","banzow"
"25","bandundu","kwilu","Bandundu","149","Bandundu","Bandundu","kl Kwilu Province","kl Bandundu Zone de Santé","bandundu","kwilu","bandundu","bandundu"
"26","banga-lubaka","kasai","Kasai Occidental","21","Banga Lubaka","Banga Lubaka","ks Kasai Province","ks Banga Lubaka Zone de Santé","banga lubaka","kasai","banga-lubaka","banga-lubaka"
"27","bangabola","sud-ubangi","Equateur","309","Bangabola","Bangabola","su Sud Ubangi Province","su Bangabola Zone de Santé","bangabola","sud ubangi","bangabola","bangabola"
"28","barumbu","kinshasa","Kinshasa","253","Barumbu","Barumbu","kn Kinshasa Province","kn Barumbu Zone de Santé","barumbu","kinshasa","barumbu","barumbu"
"29","basali","tshopo","Province Oriental","202","Basali","Basali","tp Tshopo Province","tp Basali Zone de Santé","basali","tshopo","basali","basali"
"30","basankusu","equateur","Equateur","5","Basankusu","Basankusu","eq Equateur Province","eq Basankusu Zone de Santé","basankusu","equateur","basankusu","basankusu"
"31","basoko","tshopo","Province Oriental","203","Basoko","Basoko","tp Tshopo Province","tp Basoko Zone de Santé","basoko","tshopo","basoko","basoko"
"32","bena-dibele","sankuru","Kasai Oriental","457","Bena Dibele","Bena-Dibele","sn Sankuru Province","sn Bena Dibele Zone de Santé","bena dibele","sankuru","bena-dibele","bena-dibele"
"33","bena-leke","kasai-central","Kasai Occidental","28","Bena Leke","Bena-leka","kr Kasai Central Province","kr Bena Leka Zone de Santé","bena leka","kasai central","bena-leka","benaleka"
"34","bena-tshadi","kasai-central","NA","NA","NA","NA","kr Kasai Central Province","kr Bena Tshadi Zone de Santé","benatshiadi","kasai central","bena-tshadi","bena-tshiadi"
"35","bengamisa","tshopo","Province Oriental","204","Bengamisa","Bengamisa","tp Tshopo Province","tp Bengamisa Zone de Santé","bengamisa","tshopo","bengamisa","bengamisa"
"36","beni","nord-kivu","Nord Kivu","57","Beni","Beni","nk Nord Kivu Province","nk Beni Zone de Santé","beni","nord kivu","beni",NA
"37","bibanga","kasai-oriental","Kasai Oriental","89","Bibanga","Bibanga","ke Kasai Oriental Province","ke Bibanga Zone de Santé","bibanga","kasai oriental","bibanga","bibanga"
"38","biena","nord-kivu","Nord Kivu","46","Biena","Biena","nk Nord Kivu Province","nk Biena Zone de Santé","biena","nord kivu","biena",NA
"39","bikoro","equateur","Equateur","422","Bikoro","Bikoro","eq Equateur Province","eq Bikoro Zone de Santé","bikoro","equateur","bikoro","bikoro"
"40","bili","bas-uele","Equateur","431","Bili","Bili","bu Bas Uele Province","bu Bili Zone de Santé","bili","bas-uele","bili","bili"
"41","bili","nord-ubangi","Equateur","431","Bili","Bili","nu Nord Ubangi Province","nu Bili Zone de Santé","bili","nord ubangi","bili","bili"
"42","bili","bas-uele","Province Oriental","437","Bili","Bili","bu Bas Uele Province","bu Bili Zone de Santé","bili","bas-uele","bili","bili"
"43","bili","nord-ubangi","Province Oriental","437","Bili","Bili","nu Nord Ubangi Province","nu Bili Zone de Santé","bili","nord ubangi","bili","bili"
"44","bilonda","kasai-central","Kasai Occidental","17","Bilonda","Bilomba","kr Kasai Central Province","kr Bilomba Zone de Santé","bilomba","kasai central","bilomba","bilomba"
"45","bimpemba","kasai-oriental","Kasai Oriental","74","Bimpemba","Bipemba","ke Kasai Oriental Province","ke Bipemba Zone de Santé","bimpemba","kasai oriental","bipemba","bipemba"
"46","binga","mongala","Equateur","312","Binga","Binga","mg Mongala Province","mg Binga Zone de Santé","binga","mongala","binga","binga"
"47","binza","nord-kivu","Nord Kivu","53","Binza","Binza","nk Nord Kivu Province","nk Binza Zone de Santé","binza","nord kivu","binza",NA
"48","binza-metéo","kinshasa","Kinshasa","270","Binza_Metéo","Binza-Météo","kn Kinshasa Province","kn Binza Meteo Zone de Santé","binza m","kinshasa","binza-meteo","binza-meteo"
"49","binza-ozone","kinshasa","Kinshasa","271","Binza_Ozone","Binza-Ozone","kn Kinshasa Province","kn Binza Ozone Zone de Santé","binza o","kinshasa","binza-ozone","binza-ozone"
"50","birambizo","nord-kivu","Nord Kivu","54","Birambizo","Birambizo","nk Nord Kivu Province","nk Birambizo Zone de Santé","birambizo","nord kivu","birambizo",NA
"51","biringi","ituri","Province Oriental","222","Biringi","Biringi","it Ituri Province","it Biringi Zone de Santé","biringi","ituri","biringi","biringi"
"52","biyela","kinshasa","Kinshasa","247","Biyela","Biyela","kn Kinshasa Province","kn Biyela Zone de Santé","biyela","kinshasa","biyela","biyela"
"53","bobozo","kasai-central","Kasai Occidental","330","Bobozo","Bobozo","kr Kasai Central Province","kr Bobozo Zone de Santé","bobozo","kasai central","bobozo","bobozo"
"54","boende","tshuapa","Equateur","303","Boende","Boende","tu Tshuapa Province","tu Boende Zone de Santé","boende","tshuapa","boende","boende"
"55","boga","ituri","Province Oriental","186","Boga","Boga","it Ituri Province","it Boga Zone de Santé","boga","ituri","boga","boga"
"56","boko","kwango","Bandundu","160","Boko","Boko","kg Kwango Province","kg Boko Zone de Santé","boko","kwango","boko","boko"
"57","boko-kivulu","kongo-central","Bas-Congo","130","Boko Kivulu","Boko-Kivulu","kc Kongo Central Province","kc Boko Kivulu Zone de Santé","boko kivulu","bas congo","boko-kivulu","boko-kivulu"
"58","bokonzi","sud-ubangi","Equateur","424","Bokonzi","Bokonzi","su Sud Ubangi Province","su Bokonzi Zone de Santé","bokonzi","sud ubangi","bokonzi","bokonzi"
"59","bokoro","mai-ndombe","Bandundu","140","Bokoro","Bokoro","md Maindombe Province","md Bokoro Zone de Santé","bokoro","mai-ndombe","bokoro","bokoro"
"60","bokungu","tshuapa","Equateur","306","Bokungu","Bokungu","tu Tshuapa Province","tu Bokungu Zone de Santé","bokungu","tshuapa","bokungu","bokungu"
"61","bolobo","mai-ndombe","Bandundu","134","Bolobo","Bolobo","md Maindombe Province","md Bolobo Zone de Santé","bolobo","mai-ndombe","bolobo","bolobo"
"62","bolomba","equateur","Equateur","302","Bolomba","Bolomba","eq Equateur Province","eq Bolomba Zone de Santé","bolomba","equateur","bolomba","bolomba"
"63","bolonge","equateur","Equateur","231","Bolonge","Bolenge","eq Equateur Province","eq Bolenge Zone de Santé","bolenge","equateur","bolenge","bolenge"
"64","boma","kongo-central","Bas-Congo","117","Boma","Boma","kc Kongo Central Province","kc Boma Zone de Santé","boma","bas congo","boma","boma"
"65","boma-bungu","kongo-central","Bas-Congo","118","Boma Bungu","Boma Bungu","kc Kongo Central Province","kc Boma Bungu Zone de Santé","boma bungu","bas congo","boma-bungu","boma-bungu"
"66","boma-mangbetu","haut-uele","NA","NA","NA","NA","hu Haut Uele Province","hu Boma Mangbetu Zone de Santé","boma mangbetu","haut-uele","boma-mangbetu","boma-mangbetu"
"67","bominenge","sud-ubangi","Equateur","320","Bominenge","Bominenge","su Sud Ubangi Province","su Bominenge Zone de Santé","bominenge","sud ubangi","bominenge","bominenge"
"68","bomongo","equateur","Equateur","425","Bomongo","Bomongo","eq Equateur Province","eq Bomongo Zone de Santé","bomongo","equateur","bomongo","bomongo"
"69","bondo","bas-uele","Province Oriental","436","Bondo","Bondo","bu Bas Uele Province","bu Bondo Zone de Santé","bondo","bas-uele","bondo","bondo"
"70","bongandanga","mongala","Equateur","3","Bongandanga","Bongandanga","mg Mongala Province","mg Bongandanga Zone de Santé","bongandanganda","mongala","bongandanga","bongandanga"
"71","bongosenubia","sud-ubangi","Equateur","114","Bongosenubia","Bogose nubea","su Sud Ubangi Province","su Bogosenubea Zone de Santé","bogosenusebea","sud ubangi","bogosenubea","bogose-nubea"
"72","bonzola","kasai-oriental","Kasai Oriental","68","Bonzola","Bonzola","ke Kasai Oriental Province","ke Bonzola Zone de Santé","bonzola","kasai oriental","bonzola","bonzola"
"73","bosanga","tshuapa","Equateur","305","Bosanga","Busanga","tu Tshuapa Province","tu Busanga Zone de Santé","bosanga","tshuapa","busanga","busanga"
"74","bosobe","mai-ndombe","Bandundu","139","Bosobe","Bosobe","md Maindombe Province","md Bosobe Zone de Santé","bosobe","mai-ndombe","bosobe","bosobe"
"75","bosobolo","nord-ubangi","Equateur","430","Bosobolo","Bosobolo","nu Nord Ubangi Province","nu Bosobolo Zone de Santé","bosobolo","nord ubangi","bosobolo","bosobolo"
"76","bosomanzi","mongala","Equateur","316","Bosomanzi","Bosomanzi","mg Mongala Province","mg Boso Manzi Zone de Santé","bosomanzi","mongala","boso-manzi","boso-manzi"
"77","bosomondanda","mongala","Equateur","310","Bosomondanda","Bosomodanda","mg Mongala Province","mg Boso Mondanda Zone de Santé","bosomondanda","mongala","boso-mondanda","boso-modanda"
"78","bosondjo","mongala","Equateur","394","Bosondjo","Bosondjo","mg Mongala Province","mg Bosondjo Zone de Santé","bosondjo","mongala","bosondjo","bosondjo"
"79","boto","sud-ubangi","Equateur","293","Boto","Boto","su Sud Ubangi Province","su Boto Zone de Santé","boto","sud ubangi","boto","boto"
"80","budjala","sud-ubangi","Equateur","311","Budjala","Budjala","su Sud Ubangi Province","su Budjala Zone de Santé","budjala","sud ubangi","budjala","budjala"
"81","bukama","haut-lomami","Katanga","470","Bukama","Bukama","hl Haut Lomami Province","hl Bukama Zone de Santé","bukama","haut-lomami","bukama","bukama"
"82","bukonde","kasai-central","Kasai Occidental","18","Bukonde","Bukonde","kr Kasai Central Province","kr Bunkonde Zone de Santé","bunkonde","kasai central","bunkonde","bunkonde"
"83","bulape","kasai","Kasai Occidental","30","Bulape","Bulape","ks Kasai Province","ks Bulape Zone de Santé","bulape","kasai","bulape","bulape"
"84","bulu","sud-ubangi","Equateur","323","Bulu","Bulu","su Sud Ubangi Province","su Bulu Zone de Santé","bulu","sud ubangi","bulu","bulu"
"85","bulungu","kwilu","Bandundu","147","Bulungu","Bulungu","kl Kwilu Province","kl Bulungu Zone de Santé","bulungu","kwilu","bulungu","bulungu"
"86","bumba","mongala","Equateur","395","Bumba","Bumba","mg Mongala Province","mg Bumba Zone de Santé","bumba","mongala","bumba","bumba"
"87","bumbu","kinshasa","Kinshasa","258","Bumbu","Bumbu","kn Kinshasa Province","kn Bumbu Zone de Santé","bumbu","kinshasa","bumbu","bumbu"
"88","bunia","ituri","Province Oriental","172","Bunia","Bunia","it Ituri Province","it Bunia Zone de Santé","bunia","ituri","bunia","bunia"
"89","bunkeya","lualaba","Katanga","113","Bunkeya","Bunkeya","ll Lualaba Province","ll Bunkeya Zone de Santé","bunkeya","lualaba","bunkeya","bunkeya"
"90","bunyakiri","sud-kivu","Sud Kivu","364","Bunyakiri","Bunyakiri","sk Sud Kivu Province","sk Bunyakiri Zone de Santé","bunyakiri","sud kivu","bunyakiri",NA
"91","businga","nord-ubangi","Equateur","317","Businga","Businga","nu Nord Ubangi Province","nu Businga Zone de Santé","businga","nord ubangi","businga","businga"
"92","buta","bas-uele","Province Oriental","216","Buta","Buta","bu Bas Uele Province","bu Buta Zone de Santé","buta","bas-uele","buta","buta"
"93","butembo","nord-kivu","Nord Kivu","60","Butembo","Butembo","nk Nord Kivu Province","nk Butembo Zone de Santé","butembo","nord kivu","butembo",NA
"94","butumba","haut-lomami","Katanga","341","Butumba","Butumba","hl Haut Lomami Province","hl Butumba Zone de Santé","butumba","haut-lomami","butumba","butumba"
"95","bwamanda","sud-ubangi","Equateur","292","Bwamanda","Bwamanda","su Sud Ubangi Province","su Bwamanda Zone de Santé","bwamanda","sud ubangi","bwamanda","bwamanda"
"96","damasi","ituri","Province Oriental","179","Damasi","Damas","it Ituri Province","it Damas Zone de Santé","damas","ituri","damas","damas"
"97","dekese","kasai","Kasai Occidental","459","Dekese","Dekese","ks Kasai Province","ks Dekese Zone de Santé","dekese","kasai","dekese","dekese"
"98","demba","kasai-central","Kasai Occidental","27","Demba","Demba","kr Kasai Central Province","kr Demba Zone de Santé","demba","kasai central","demba","demba"
"99","dibaya","kasai-central","Kasai Occidental","34","Dibaya","Dibaya","kr Kasai Central Province","kr Dibaya Zone de Santé","dibaya","kasai central","dibaya","dibaya"
"100","dibindi","kasai-oriental","Kasai Oriental","70","Dibindi","Dibindi","ke Kasai Oriental Province","ke Dibindi Zone de Santé","dibindi","kasai oriental","dibindi","dibindi"
"101","dikungu-tshumbe","sankuru","Kasai Oriental","98","Dikungu Tshumbe","Dikungu","sn Sankuru Province","sn Dikungu Zone de Santé","dikungu","sankuru","dikungu","dikungu"
"102","dilala","lualaba","Katanga","467","Dilala","Dilala","ll Lualaba Province","ll Dilala Zone de Santé","dilala","lualaba","dilala","dilala"
"103","dilolo","lualaba","Katanga","488","Dilolo","Dilolo","ll Lualaba Province","ll Dilolo Zone de Santé","dilolo","lualaba","dilolo","dilolo"
"104","diulu","kasai-oriental","Kasai Oriental","75","Diulu","Diulu","ke Kasai Oriental Province","ke Diulu Zone de Santé","diulu","kasai oriental","diulu",NA
"105","djalo-djeka","sankuru","Kasai Oriental","102","Djalo Djeka","Djalo-Ndjeka","sn Sankuru Province","sn Djalo Djeka Zone de Santé","djalo djeka","sankuru","djalo-djeka","djalo"
"106","djolu","tshuapa","Equateur","398","Djolu","Djolu","tu Tshuapa Province","tu Djolu Zone de Santé","djolu","tshuapa","djolu","djolu"
"107","djombo","equateur","Equateur","2","Djombo","Djombo","eq Equateur Province","eq Djombo Zone de Santé","djombo","equateur","djombo","djombo"
"108","djuma","kwilu","Bandundu","236","Djuma","Djuma","kl Kwilu Province","kl Djuma Zone de Santé","djuma","kwilu","djuma","djuma"
"109","doruma","haut-uele","Province Oriental","439","Doruma","Doruma","hu Haut Uele Province","hu Doruma Zone de Santé","doruma","haut-uele","doruma","doruma"
"110","drodro","ituri","Province Oriental","175","Drodro","Drodro","it Ituri Province","it Drodro Zone de Santé","drodro","ituri","drodro","drodro"
"111","dungu","haut-uele","Province Oriental","440","Dungu","Dungu","hu Haut Uele Province","hu Dungu Zone de Santé","dungu","haut-uele","dungu","dungu"
"112","faradje","haut-uele","Province Oriental","441","Faradje","Faradje","hu Haut Uele Province","hu Faradje Zone de Santé","faradje","haut-uele","faradje","faradje"
"113","fataki","ituri","Province Oriental","184","Fataki","Fataki","it Ituri Province","it Fataki Zone de Santé","fataki","ituri","fataki","fataki"
"114","ferekeni","maniema","Maniema","402","Ferekeni","Ferekeni","mn Maniema Province","mn Ferekeni Zone de Santé","ferekeni","maniema","ferekeni","ferekeni"
"115","feshi","kwango","Bandundu","152","Feshi","Feshi","kg Kwango Province","kg Feshi Zone de Santé","feshi","kwango","feshi","feshi"
"116","fizi","sud-kivu","Sud Kivu","379","Fizi","Fizi","sk Sud Kivu Province","sk Fizi Zone de Santé","fizi","sud kivu","fizi",NA
"117","fungurume","lualaba","Katanga","354","Fungurume","Fungurume","ll Lualaba Province","ll Fungurume Zone de Santé","fungurume","lualaba","fungurume","fungurume"
"118","ganga","bas-uele","Province Oriental","218","Ganga","NA","bu Bas Uele Province","bu Ganga Zone de Santé","ganga","bas-uele","ganga","ganga"
"119","gbadolite","nord-ubangi","Equateur","432","Gbadolite","Gbadolite","nu Nord Ubangi Province","nu Gbadolite Zone de Santé","gbadolite","nord ubangi","gbadolite","gbadolite"
"120","gemena","sud-ubangi","Equateur","321","Gemena","Gemena","su Sud Ubangi Province","su Gemena Zone de Santé","gemena","sud ubangi","gemena","gemena"
"121","gethy","ituri","Province Oriental","187","Gethy","Ghety","it Ituri Province","it Gety Zone de Santé","gethy","ituri","gety","gety"
"122","goma","nord-kivu","Nord Kivu","504","Goma","Goma","nk Nord Kivu Province","nk Goma Zone de Santé","goma","nord kivu","goma",NA
"123","gombari","haut-uele","Province Oriental","224","Gombari","Gombari","hu Haut Uele Province","hu Gombari Zone de Santé","gombari","haut-uele","gombari","gombari"
"124","gombe","kinshasa","Kinshasa","263","Gombe","Gombe","kn Kinshasa Province","kn Gombe Zone de Santé","gombe","kinshasa","gombe","la-gombe"
"125","gombe-matadi","kongo-central","Bas-Congo","417","Gombe Matadi","Gombe-Matadi","kc Kongo Central Province","kc Gombe Matadi Zone de Santé","gombe matadi","bas congo","gombe-matadi","gombe-matadi"
"126","gungu","kwilu","Bandundu","461","Gungu","Gungu","kl Kwilu Province","kl Gungu Zone de Santé","gungu","kwilu","gungu","gungu"
"127","ibanda","sud-kivu","Sud Kivu","232","Ibanda","Ibanda","sk Sud Kivu Province","sk Ibanda Zone de Santé","ibanda","sud kivu","ibanda",NA
"128","iboko","equateur","Equateur","297","Iboko","Iboko","eq Equateur Province","eq Iboko Zone de Santé","iboko","equateur","iboko","iboko"
"129","idiofa","kwilu","Bandundu","143","Idiofa","Idiofa","kl Kwilu Province","kl Idiofa Zone de Santé","idiofa","kwilu","idiofa","d'idiofa"
"130","idjwi","sud-kivu","Sud Kivu","196","Idjwi","Idjwi","sk Sud Kivu Province","sk Idjwi Zone de Santé","idjwi","sud kivu","idjwi",NA
"131","ikela","tshuapa","Equateur","450","Ikela","Ikela","tu Tshuapa Province","tu Ikela Zone de Santé","ikela","tshuapa","ikela","ikela"
"132","ilebo","kasai","Kasai Occidental","37","Ilebo","Ilebo","ks Kasai Province","ks Ilebo Zone de Santé","ilebo","kasai","ilebo","ilebo"
"133","inga","kongo-central","Bas-Congo","120","Inga","Inga","kc Kongo Central Province","kc Inga Zone de Santé","inga","bas congo","inga","inga"
"134","ingende","equateur","Equateur","298","Ingende","Ingende","eq Equateur Province","eq Ingende Zone de Santé","ingende","equateur","ingende","ingende"
"135","inongo","mai-ndombe","Bandundu","163","Inongo","Inongo","md Maindombe Province","md Inongo Zone de Santé","inongo","mai-ndombe","inongo","inongo"
