"","Region","Department","Arrondissement","Commune"
"1","Dakar","Dakar","Almadies","Mermoz/ Sacre -Coeur"
"2","Dakar","Dakar","Almadies","Ngor"
"3","Dakar","Dakar","Almadies","Ouakam"
"4","Dakar","Dakar","Almadies","Yoff"
"5","Dakar","Dakar","Dakar Plateau","Fann/Point E/ Amitie"
"6","Dakar","Dakar","Dakar Plateau","Goree"
"7","Dakar","Dakar","Dakar Plateau","Gueule Tapee/Colobane/Fass"
"8","Dakar","Dakar","Dakar Plateau","Îles des Madeleines"
"9","Dakar","Dakar","Dakar Plateau","Medina"
"10","Dakar","Dakar","Dakar Plateau","Plateau"
"11","Dakar","Dakar","Grand Dakar","Biscuiterie"
"12","Dakar","Dakar","Grand Dakar","Dieuppeul Derkle"
"13","Dakar","Dakar","Grand Dakar","Grand Dakar"
"14","Dakar","Dakar","Grand Dakar","Hann/ Bel Air"
"15","Dakar","Dakar","Grand Dakar","Hlm"
"16","Dakar","Dakar","Grand Dakar","Sicap Liberte"
"17","Dakar","Dakar","Parcelles Assainies","Camberene"
"18","Dakar","Dakar","Parcelles Assainies","Grand Yoff"
"19","Dakar","Dakar","Parcelles Assainies","Parcelles Assainies"
"20","Dakar","Dakar","Parcelles Assainies","Patte D'Oie"
"21","Dakar","Guédiawaye","Guediawaye","Golf Sud"
"22","Dakar","Guédiawaye","Guediawaye","Medina Gounass"
"23","Dakar","Guédiawaye","Guediawaye","Ndiareme Limamoulaye"
"24","Dakar","Guédiawaye","Guediawaye","Sam  Notaire"
"25","Dakar","Guédiawaye","Guediawaye","Wakhinane Nimzatt"
"26","Dakar","Pikine","Niayes","Keur Massar"
"27","Dakar","Pikine","Niayes","Malika"
"28","Dakar","Pikine","Niayes","Yeumbeul Nord"
"29","Dakar","Pikine","Niayes","Yeumbeul Sud"
"30","Dakar","Pikine","Pikine Dagoudane","Daliford"
"31","Dakar","Pikine","Pikine Dagoudane","Djidah Thiaroye Kao"
"32","Dakar","Pikine","Pikine Dagoudane","Guinaw Rail Nord"
"33","Dakar","Pikine","Pikine Dagoudane","Guinaw Rail Sud"
"34","Dakar","Pikine","Pikine Dagoudane","Pikine Est"
"35","Dakar","Pikine","Pikine Dagoudane","Pikine Ouest"
"36","Dakar","Pikine","Pikine Dagoudane","Pikine Sud"
"37","Dakar","Pikine","Thiaroye","Diack Sao"
"38","Dakar","Pikine","Thiaroye","Diamaguene/Sicap M'Bao"
"39","Dakar","Pikine","Thiaroye","Mbao"
"40","Dakar","Pikine","Thiaroye","Thiaroye Gare"
"41","Dakar","Pikine","Thiaroye","Thiaroye Mer"
"42","Dakar","Rufisque","Bambilor","Bambilor"
"43","Dakar","Rufisque","Bambilor","Tivaouane Peulh-Niagha"
"44","Dakar","Rufisque","Bambilor","Yene"
"45","Dakar","Rufisque","Rufisque","Rufisque  Est"
"46","Dakar","Rufisque","Rufisque","Rufisque Centre (Nord)"
"47","Dakar","Rufisque","Rufisque","Rufisque Ouest"
"48","Diourbel","Bambey","Baba Garage","Baba Garage"
"49","Diourbel","Bambey","Baba Garage","Dinguiraye"
"50","Diourbel","Bambey","Baba Garage","Keur Samba Kane"
"51","Diourbel","Bambey","Lambaye","Gawane"
"52","Diourbel","Bambey","Lambaye","Lambaye"
"53","Diourbel","Bambey","Lambaye","Ngogom"
"54","Diourbel","Bambey","Lambaye","Refane"
"55","Diourbel","Bambey","Ngoye","Ndangalma"
"56","Diourbel","Bambey","Ngoye","Ndondol"
"57","Diourbel","Bambey","Ngoye","Ngoye"
"58","Diourbel","Bambey","Ngoye","Thiakhar"
"59","Diourbel","Diourbel","Ndindy","Dankh Sene"
"60","Diourbel","Diourbel","Ndindy","Gade Escale"
"61","Diourbel","Diourbel","Ndindy","Keur Ngalgou"
"62","Diourbel","Diourbel","Ndindy","Ndindy"
"63","Diourbel","Diourbel","Ndindy","Taiba Moutoupha"
"64","Diourbel","Diourbel","Ndindy","Touba Lappe"
"65","Diourbel","Diourbel","Ndoulo","Ndoulo"
"66","Diourbel","Diourbel","Ndoulo","Ngohe"
"67","Diourbel","Diourbel","Ndoulo","Patar"
"68","Diourbel","Diourbel","Ndoulo","Tocky Gare"
"69","Diourbel","Diourbel","Ndoulo","Toure Mbonde"
"70","Diourbel","Mbacké","Kael","Darou Nahim"
"71","Diourbel","Mbacké","Kael","Darou Salam Typ"
"72","Diourbel","Mbacké","Kael","Dendeye Gouye Gui"
"73","Diourbel","Mbacké","Kael","Kael"
"74","Diourbel","Mbacké","Kael","Madina"
"75","Diourbel","Mbacké","Kael","Ndioumane Taiba Thiekene"
"76","Diourbel","Mbacké","Kael","Taiba Thieckene"
"77","Diourbel","Mbacké","Kael","Touba Mboul"
"78","Diourbel","Mbacké","Ndame","Dalla Ngabou"
"79","Diourbel","Mbacké","Ndame","Missirah"
"80","Diourbel","Mbacké","Ndame","Nghaye"
"81","Diourbel","Mbacké","Ndame","Touba Fall"
"82","Diourbel","Mbacké","Ndame","Touba Mosquee"
"83","Diourbel","Mbacké","Taif","Sadio"
"84","Diourbel","Mbacké","Taif","Taif"
"85","Fatick","Fatick","Fimela","Djilasse"
"86","Fatick","Fatick","Fimela","Fimela"
"87","Fatick","Fatick","Fimela","Loul Sessene"
"88","Fatick","Fatick","Fimela","Palmarin Facao"
"89","Fatick","Fatick","Ndiob","Diaoule"
"90","Fatick","Fatick","Ndiob","Mbelacadio"
"91","Fatick","Fatick","Ndiob","Ndiob"
"92","Fatick","Fatick","Ndiob","Thiare Ndialgui"
"93","Fatick","Fatick","Niakhar","Ngayokheme"
"94","Fatick","Fatick","Niakhar","Niakhar"
"95","Fatick","Fatick","Niakhar","Patar"
"96","Fatick","Fatick","Tattaguine","Diarrere"
"97","Fatick","Fatick","Tattaguine","Diouroup"
"98","Fatick","Fatick","Tattaguine","Tattaguine"
"99","Fatick","Foundiougne","Djilor","Diagane Barka"
"100","Fatick","Foundiougne","Djilor","Diossong"
"101","Fatick","Foundiougne","Djilor","Djilor"
"102","Fatick","Foundiougne","Djilor","Mbam"
"103","Fatick","Foundiougne","Djilor","Niassene"
"104","Fatick","Foundiougne","Niodior","Bassoul"
"105","Fatick","Foundiougne","Niodior","Delta du Saloum National Park"
"106","Fatick","Foundiougne","Niodior","Dionewar"
"107","Fatick","Foundiougne","Niodior","Djirnda"
"108","Fatick","Foundiougne","Toubacouta","Keur Saloum Diane"
"109","Fatick","Foundiougne","Toubacouta","Keur Samba Gueye"
"110","Fatick","Foundiougne","Toubacouta","Nioro Alassane Tall"
"111","Fatick","Foundiougne","Toubacouta","Toubacouta"
"112","Fatick","Gossas","Colobane","Colobane"
"113","Fatick","Gossas","Colobane","Mbar"
"114","Fatick","Gossas","Ouadiour","Ndiene Lagane"
"115","Fatick","Gossas","Ouadiour","Ouadiour"
"116","Fatick","Gossas","Ouadiour","Patar Lia"
"117","Kaffrine","Birkilane","Keur Mboucki","Diamal"
"118","Kaffrine","Birkilane","Keur Mboucki","Keur Mboucki"
"119","Kaffrine","Birkilane","Keur Mboucki","Touba Mbella"
"120","Kaffrine","Birkilane","Mabo","Mabo"
"121","Kaffrine","Birkilane","Mabo","Mbeuleup"
"122","Kaffrine","Birkilane","Mabo","Ndiognick"
"123","Kaffrine","Birkilane","Mabo","Segre Gatta"
"124","Kaffrine","Kaffrine","Gniby","Boulel Goumack"
"125","Kaffrine","Kaffrine","Gniby","Gniby"
"126","Kaffrine","Kaffrine","Gniby","Kahi"
"127","Kaffrine","Kaffrine","Katakel","Diamagadio"
"128","Kaffrine","Kaffrine","Katakel","Diokoul Mbelbouck"
"129","Kaffrine","Kaffrine","Katakel","Kathiote"
"130","Kaffrine","Kaffrine","Katakel","Medinatoul Salam Ii"
"131","Kaffrine","Koungheul","Ida Mouride","Fass Thiekene"
"132","Kaffrine","Koungheul","Ida Mouride","Ida Mouride"
"133","Kaffrine","Koungheul","Ida Mouride","Saly Escale"
"134","Kaffrine","Koungheul","Lour Escale","Lour Escale"
"135","Kaffrine","Koungheul","Lour Escale","Ribot Escale"
"136","Kaffrine","Koungheul","Missirah Wadene","Gainthe Pathe"
"137","Kaffrine","Koungheul","Missirah Wadene","Maka Yop"
"138","Kaffrine","Koungheul","Missirah Wadene","Missirah Wadene"
"139","Kaffrine","Malème Hodar","Darou Miname Ii","Darou Miname Ii"
"140","Kaffrine","Malème Hodar","Darou Miname Ii","Khelcom"
"141","Kaffrine","Malème Hodar","Darou Miname Ii","Ndiobene Samba Lama"
"142","Kaffrine","Malème Hodar","Darou Miname Ii","Ndioum Ngainthe"
"143","Kaffrine","Malème Hodar","Sagna","Dianke Souf"
"144","Kaffrine","Malème Hodar","Sagna","Sagna"
"145","Kaolack","Guinguinéo","Mbadakhoune","Khelcom Birame"
"146","Kaolack","Guinguinéo","Mbadakhoune","Mbadakhoune"
"147","Kaolack","Guinguinéo","Mbadakhoune","Ndiago"
"148","Kaolack","Guinguinéo","Mbadakhoune","Ngathie Naoude"
"149","Kaolack","Guinguinéo","Nguelou","Dara Mboss"
"150","Kaolack","Guinguinéo","Nguelou","Gagnick"
"151","Kaolack","Guinguinéo","Nguelou","Nguelou"
"152","Kaolack","Guinguinéo","Nguelou","Ourour"
"153","Kaolack","Guinguinéo","Nguelou","Panal Wolof"
"154","Kaolack","Kaolack","Koumbal","Keur Baka"
"155","Kaolack","Kaolack","Koumbal","Latmingue"
"156","Kaolack","Kaolack","Koumbal","Thiare"
"157","Kaolack","Kaolack","Ndiedieng","Keur Soce"
"158","Kaolack","Kaolack","Ndiedieng","Ndiaffate"
"159","Kaolack","Kaolack","Ndiedieng","Ndiedieng"
"160","Kaolack","Kaolack","Ngothie","Dya"
"161","Kaolack","Kaolack","Ngothie","Ndiebel"
"162","Kaolack","Kaolack","Ngothie","Thiomby"
"163","Kaolack","Nioro du Rip","Medina Sabakh","Kayemor"
"164","Kaolack","Nioro du Rip","Medina Sabakh","Medina Sabakh"
"165","Kaolack","Nioro du Rip","Medina Sabakh","Ngayene"
"166","Kaolack","Nioro du Rip","Paos Koto","Dabaly"
"167","Kaolack","Nioro du Rip","Paos Koto","Darou Salam"
"168","Kaolack","Nioro du Rip","Paos Koto","Gainthe Kaye"
"169","Kaolack","Nioro du Rip","Paos Koto","Paos Koto"
"170","Kaolack","Nioro du Rip","Paos Koto","Prokhane"
"171","Kaolack","Nioro du Rip","Paos Koto","Taiba Niassene"
"172","Kaolack","Nioro du Rip","Wack Ngouna","Keur Maba Diakhou"
"173","Kaolack","Nioro du Rip","Wack Ngouna","Keur Madongo"
"174","Kaolack","Nioro du Rip","Wack Ngouna","Ndrame Escale"
"175","Kaolack","Nioro du Rip","Wack Ngouna","Wack Ngouna"
"176","Kédougou","Kédougou","Bandafassi","Bandafassi"
"177","Kédougou","Kédougou","Bandafassi","Dindefello"
"178","Kédougou","Kédougou","Bandafassi","Ninefecha"
"179","Kédougou","Kédougou","Bandafassi","Tomboronkoto"
"180","Kédougou","Kédougou","Fongolimbi","Dimboly"
"181","Kédougou","Kédougou","Fongolimbi","Fongolimbi"
"182","Kédougou","Salémata","Dakately","Dakately"
"183","Kédougou","Salémata","Dakately","Kevoye"
"184","Kédougou","Salémata","Dar Salam","Dar Salam"
"185","Kédougou","Salémata","Dar Salam","Ethiolo"
"186","Kédougou","Salémata","Dar Salam","Oubadji"
"187","Kédougou","Saraya","Bembou","Bembou"
"188","Kédougou","Saraya","Bembou","Medina Baffe"
"189","Kédougou","Saraya","Sabodala","Khossanto"
"190","Kédougou","Saraya","Sabodala","Missirah Sirimana"
"191","Kédougou","Saraya","Sabodala","Sabodala"
"192","Kolda","Kolda","Dioulacolon","Dioulacolon"
"193","Kolda","Kolda","Dioulacolon","Guiro Yero Bocar"
"194","Kolda","Kolda","Dioulacolon","Medina El Hadj"
"195","Kolda","Kolda","Dioulacolon","Tankanto Escale"
"196","Kolda","Kolda","Mampatim","Bagadadji"
"197","Kolda","Kolda","Mampatim","Coumbacara"
"198","Kolda","Kolda","Mampatim","Dialambere"
"199","Kolda","Kolda","Mampatim","Mampatim"
"200","Kolda","Kolda","Mampatim","Medina Cherif"
"201","Kolda","Kolda","Sare Bidji","Sare Bidji"
"202","Kolda","Kolda","Sare Bidji","Thietty"
"203","Kolda","Médina Yoro Foula","Fafacourou","Badion"
"204","Kolda","Médina Yoro Foula","Fafacourou","Fafacourou"
"205","Kolda","Médina Yoro Foula","Ndorna","Bignaraby"
"206","Kolda","Médina Yoro Foula","Ndorna","Bouroucou"
"207","Kolda","Médina Yoro Foula","Ndorna","Koulinto"
"208","Kolda","Médina Yoro Foula","Ndorna","Ndorna"
"209","Kolda","Médina Yoro Foula","Niaming","Dinguiraye"
"210","Kolda","Médina Yoro Foula","Niaming","Kerewane"
"211","Kolda","Médina Yoro Foula","Niaming","Niaming"
"212","Kolda","Vélingara","Bonconto","Bonconto"
"213","Kolda","Vélingara","Bonconto","Linkering"
"214","Kolda","Vélingara","Bonconto","Medina Gounass"
"215","Kolda","Vélingara","Bonconto","Sinthiang Koundara"
"216","Kolda","Vélingara","Pakour","Ouassadou"
"217","Kolda","Vélingara","Pakour","Pakour"
"218","Kolda","Vélingara","Pakour","Paroumba"
"219","Kolda","Vélingara","Sare Coly Sale","Kandia"
"220","Kolda","Vélingara","Sare Coly Sale","Kandiaye"
"221","Kolda","Vélingara","Sare Coly Sale","Nemataba"
"222","Kolda","Vélingara","Sare Coly Sale","Sare Coly Sale"
"223","Louga","Kébémer","Darou Mousty","Darou Marnane"
"224","Louga","Kébémer","Darou Mousty","Darou Mousty"
"225","Louga","Kébémer","Darou Mousty","Mbacke Kadior"
"226","Louga","Kébémer","Darou Mousty","Mbadiane"
"227","Louga","Kébémer","Darou Mousty","Ndoyene"
"228","Louga","Kébémer","Darou Mousty","Sam Yabal"
"229","Louga","Kébémer","Darou Mousty","Touba Merina"
"230","Louga","Kébémer","Sagatta Gueth","Badegne Ouolof"
"231","Louga","Kébémer","Sagatta Gueth","Diokoul Diawrigne"
"232","Louga","Kébémer","Sagatta Gueth","Kab Gaye"
"233","Louga","Kébémer","Sagatta Gueth","Kanene Ndiob"
"234","Louga","Kébémer","Sagatta Gueth","Loro"
"235","Louga","Kébémer","Sagatta Gueth","Ndande"
"236","Louga","Kébémer","Sagatta Gueth","Ngourane Ouolof"
"237","Louga","Kébémer","Sagatta Gueth","Sagatta Gueth"
"238","Louga","Kébémer","Sagatta Gueth","Thieppe"
"239","Louga","Kébémer","Sagatta Gueth","Thiolom Fall"
"240","Louga","Linguère","Barkedji","Barkedji"
"241","Louga","Linguère","Barkedji","Gassane"
"242","Louga","Linguère","Barkedji","Thiargny"
"243","Louga","Linguère","Barkedji","Thiel"
"244","Louga","Linguère","Dodji","Dodji"
"245","Louga","Linguère","Dodji","Labgar"
"246","Louga","Linguère","Dodji","Ouarkhokh"
"247","Louga","Linguère","Sagatta Djolof","Affe Djolof"
"248","Louga","Linguère","Sagatta Djolof","Boulal"
"249","Louga","Linguère","Sagatta Djolof","Deali"
"250","Louga","Linguère","Sagatta Djolof","Sagatta Djolof"
"251","Louga","Linguère","Sagatta Djolof","Thiamene Djolof"
"252","Louga","Linguère","Yang Yang","Kamb"
"253","Louga","Linguère","Yang Yang","Mboula"
"254","Louga","Linguère","Yang Yang","Tessekre Forage"
"255","Louga","Linguère","Yang Yang","Yang Yang"
"256","Louga","Louga","Coki","Coki"
"257","Louga","Louga","Coki","Guet Ardo"
"258","Louga","Louga","Coki","Pete Ouarack"
"259","Louga","Louga","Coki","Thiamene Cayor"
"260","Louga","Louga","Mbediene","Kelle Gueye"
"261","Louga","Louga","Mbediene","Mbediene"
"262","Louga","Louga","Mbediene","Nguidile"
"263","Louga","Louga","Mbediene","Niomre"
"264","Louga","Louga","Meur Momar Sarr","Gande"
"265","Louga","Louga","Meur Momar Sarr","Keur Momar Sarr"
"266","Louga","Louga","Meur Momar Sarr","Nguer Malal"
"267","Louga","Louga","Meur Momar Sarr","Syer"
"268","Louga","Louga","Sakal","Leona"
"269","Louga","Louga","Sakal","Ngueune Sarr"
"270","Louga","Louga","Sakal","Sakal"
"271","Matam","Kanel","Orkadiere","Aoure"
"272","Matam","Kanel","Orkadiere","Bokiladji"
"273","Matam","Kanel","Orkadiere","Orkadiere"
"274","Matam","Kanel","Ouro Sidy","Ndendory"
"275","Matam","Kanel","Ouro Sidy","Ouro Sidy"
"276","Matam","Matam","Agnam Civol","Agnam Civol"
"277","Matam","Matam","Agnam Civol","Dabia Obedji"
"278","Matam","Matam","Agnam Civol","Orefonde"
"279","Matam","Matam","Ogo","Bokidiawe"
"280","Matam","Matam","Ogo","Nabadji Civol"
"281","Matam","Matam","Ogo","Ogo"
"282","Matam","Ranérou Ferlo","Velingara","Houdalaye"
"283","Matam","Ranérou Ferlo","Velingara","Louguere Thioly"
"284","Matam","Ranérou Ferlo","Velingara","Velingara"
"285","Saint-Louis","Dagana","Mbane","Bokhol"
"286","Saint-Louis","Dagana","Mbane","Mbane"
"287","Saint-Louis","Dagana","Ndiaye Mberess","Diama"
"288","Saint-Louis","Dagana","Ndiaye Mberess","Ngnith"
"289","Saint-Louis","Dagana","Ndiaye Mberess","Ronkh"
"290","Saint-Louis","Podor","Cas Cas","Dounga Lao"
"291","Saint-Louis","Podor","Cas Cas","Medina Ndiathbe"
"292","Saint-Louis","Podor","Cas Cas","Mery"
"293","Saint-Louis","Podor","Gamadji Sarre","Dodel"
"294","Saint-Louis","Podor","Gamadji Sarre","Gamadji Sarre"
"295","Saint-Louis","Podor","Gamadji Sarre","Guede Village"
"296","Saint-Louis","Podor","Salde","Boke Dialloube"
"297","Saint-Louis","Podor","Salde","Mbolo Birane"
"298","Saint-Louis","Podor","Thile Boubacar","Fanaye"
"299","Saint-Louis","Podor","Thile Boubacar","Ndiayene Pendao"
"300","Saint-Louis","Saint-Louis","Rao","Fass Ngom"
"301","Saint-Louis","Saint-Louis","Rao","Gandon"
"302","Saint-Louis","Saint-Louis","Rao","Ndiebene Gandiole"
"303","Sédhiou","Bounkiling","Boghal","Boghal"
"304","Sédhiou","Bounkiling","Boghal","Djinani"
"305","Sédhiou","Bounkiling","Boghal","Ndiamalathiel"
"306","Sédhiou","Bounkiling","Boghal","Tankon"
"307","Sédhiou","Bounkiling","Bona","Bona"
"308","Sédhiou","Bounkiling","Bona","Diacounda"
"309","Sédhiou","Bounkiling","Bona","Inor"
"310","Sédhiou","Bounkiling","Bona","Kandion Mangana"
"311","Sédhiou","Bounkiling","Diaroume","Diambaty"
"312","Sédhiou","Bounkiling","Diaroume","Diaroume"
"313","Sédhiou","Bounkiling","Diaroume","Faoune"
"314","Sédhiou","Goudomp","Djibanar","Djibanar"
"315","Sédhiou","Goudomp","Djibanar","Kaour"
"316","Sédhiou","Goudomp","Djibanar","Mangaroungou Santo"
"317","Sédhiou","Goudomp","Djibanar","Simbandi Balante"
"318","Sédhiou","Goudomp","Djibanar","Yarang Balante"
"319","Sédhiou","Goudomp","Karantaba","Karantaba"
"320","Sédhiou","Goudomp","Karantaba","Kolibantang"
"321","Sédhiou","Goudomp","Simbandi Brassou","Baghere"
"322","Sédhiou","Goudomp","Simbandi Brassou","Diouboudou"
"323","Sédhiou","Goudomp","Simbandi Brassou","Niagha"
"324","Sédhiou","Goudomp","Simbandi Brassou","Simbandi Brassou"
"325","Sédhiou","Sédhiou","Diende","Diannah Ba"
"326","Sédhiou","Sédhiou","Diende","Diende"
"327","Sédhiou","Sédhiou","Diende","Koussy"
"328","Sédhiou","Sédhiou","Diende","Oudoucar"
"329","Sédhiou","Sédhiou","Diende","Sakar"
"330","Sédhiou","Sédhiou","Diende","Same Kanta Peulh"
"331","Sédhiou","Sédhiou","Djibabouya","Bemet Bidjini"
"332","Sédhiou","Sédhiou","Djibabouya","Djibabouya"
"333","Sédhiou","Sédhiou","Djibabouya","Sansamba"
"334","Sédhiou","Sédhiou","Djiredji","Bambali"
"335","Sédhiou","Sédhiou","Djiredji","Djiredji"
"336","Tambacounda","Bakel","Bele","Bele"
"337","Tambacounda","Bakel","Bele","Sinthiou Fissa"
"338","Tambacounda","Bakel","Kenieba","Gathiary"
"339","Tambacounda","Bakel","Kenieba","Madina Foulbe"
"340","Tambacounda","Bakel","Kenieba","Sadatou"
"341","Tambacounda","Bakel","Kenieba","Toumboura"
"342","Tambacounda","Bakel","Moudery","Ballou"
"343","Tambacounda","Bakel","Moudery","Gabou"
"344","Tambacounda","Bakel","Moudery","Moudery"
"345","Tambacounda","Goudiry","Bala","Bala"
"346","Tambacounda","Goudiry","Bala","Goumbayel"
"347","Tambacounda","Goudiry","Bala","Koar"
"348","Tambacounda","Goudiry","Boynguel Bamba","Boynguel Bamba"
"349","Tambacounda","Goudiry","Boynguel Bamba","Dougue"
"350","Tambacounda","Goudiry","Boynguel Bamba","Koussan"
"351","Tambacounda","Goudiry","Boynguel Bamba","Sinthiou Mamadou Boubou"
"352","Tambacounda","Goudiry","Dianke Makha","Bani Israel"
"353","Tambacounda","Goudiry","Dianke Makha","Boutoucoufara"
"354","Tambacounda","Goudiry","Dianke Makha","Dianke Makha"
"355","Tambacounda","Goudiry","Dianke Makha","Komoti"
"356","Tambacounda","Goudiry","Koulor","Koulor"
"357","Tambacounda","Goudiry","Koulor","Sinthiou Bocar Ali"
"358","Tambacounda","Koupentoum","Bamba Ndiayene","Bamba Ndiayene"
"359","Tambacounda","Koupentoum","Bamba Ndiayene","Kahene"
"360","Tambacounda","Koupentoum","Bamba Ndiayene","Mereto"
"361","Tambacounda","Koupentoum","Bamba Ndiayene","Ndame"
"362","Tambacounda","Koupentoum","Kouthiaba Ouolof","Kouthia Gaydi"
"363","Tambacounda","Koupentoum","Kouthiaba Ouolof","Kouthiaba Ouolof"
"364","Tambacounda","Koupentoum","Kouthiaba Ouolof","Pass Koto"
"365","Tambacounda","Koupentoum","Kouthiaba Ouolof","Payar"
"366","Tambacounda","Tambacounda","Koussanar","Koussanar"
"367","Tambacounda","Tambacounda","Koussanar","Sinthiou Maleme"
"368","Tambacounda","Tambacounda","Makacoulibantang","Makacoulibantang"
"369","Tambacounda","Tambacounda","Makacoulibantang","Ndoga Babacar"
"370","Tambacounda","Tambacounda","Makacoulibantang","Niani Toucouleur"
"371","Tambacounda","Tambacounda","Missirah","Dialacoto"
"372","Tambacounda","Tambacounda","Missirah","Missirah"
"373","Tambacounda","Tambacounda","Missirah","Netteboulou"
"374","Thiès","Mbour","Fissel","Fissel"
"375","Thiès","Mbour","Fissel","Ndiaganiao"
"376","Thiès","Mbour","Sessene","Ngueniene"
"377","Thiès","Mbour","Sessene","Sandiara"
"378","Thiès","Mbour","Sessene","Sessene"
"379","Thiès","Mbour","Sindia","Diass"
"380","Thiès","Mbour","Sindia","Malicounda"
"381","Thiès","Mbour","Sindia","Sindia"
"382","Thiès","Thiès","Keur Moussa","Diender Guedji"
"383","Thiès","Thiès","Keur Moussa","Fandene"
"384","Thiès","Thiès","Keur Moussa","Keur Moussa"
"385","Thiès","Thiès","Notto","Notto"
"386","Thiès","Thiès","Notto","Tassette"
"387","Thiès","Thiès","Thienaba","Ndieyene Sirakh"
"388","Thiès","Thiès","Thienaba","Ngoudiane"
"389","Thiès","Thiès","Thienaba","Thienaba"
"390","Thiès","Thiès","Thienaba","Touba Toul"
"391","Thiès","Thiès","Thies Nord","Thies Nord"
"392","Thiès","Thiès","Thies Sud","Thies Est"
"393","Thiès","Thiès","Thies Sud","Thies Ouest"
"394","Thiès","Tivaouane","Meouane","Meouane"
"395","Thiès","Tivaouane","Meouane","Taiba Ndiaye"
"396","Thiès","Tivaouane","Mequane","Darhou Khoudoss"
"397","Thiès","Tivaouane","Merina Dakhar","Koul"
"398","Thiès","Tivaouane","Merina Dakhar","Merina Dakhar"
"399","Thiès","Tivaouane","Merina Dakhar","Pekesse"
"400","Thiès","Tivaouane","Niakhene","Mbayene"
"401","Thiès","Tivaouane","Niakhene","Ngandiouf"
"402","Thiès","Tivaouane","Niakhene","Niakhene"
"403","Thiès","Tivaouane","Niakhene","Thilmakha"
"404","Thiès","Tivaouane","Pambal","Cherif Lo"
"405","Thiès","Tivaouane","Pambal","Mont Roland"
"406","Thiès","Tivaouane","Pambal","Notto Gouye Diama"
"407","Thiès","Tivaouane","Pambal","Pambal"
"408","Thiès","Tivaouane","Pambal","Pire Goureye"
"409","Ziguinchor","Bignona","Kataba I","Djinaky"
"410","Ziguinchor","Bignona","Kataba I","Kafountine"
"411","Ziguinchor","Bignona","Kataba I","Kataba I"
"412","Ziguinchor","Bignona","Sindian","Djibidione"
"413","Ziguinchor","Bignona","Sindian","Oulampane"
"414","Ziguinchor","Bignona","Sindian","Sindian"
"415","Ziguinchor","Bignona","Sindian","Suelle"
"416","Ziguinchor","Bignona","Tendouck","Balingore"
"417","Ziguinchor","Bignona","Tendouck","Diegoune"
"418","Ziguinchor","Bignona","Tendouck","Karthiack"
"419","Ziguinchor","Bignona","Tendouck","Mangagoulack"
"420","Ziguinchor","Bignona","Tendouck","Mlomp"
"421","Ziguinchor","Bignona","Tenghory","Coubalan"
"422","Ziguinchor","Bignona","Tenghory","Niamone"
"423","Ziguinchor","Bignona","Tenghory","Ouonck"
"424","Ziguinchor","Bignona","Tenghory","Tenghory"
"425","Ziguinchor","Oussouye","Cabrousse","Diembering"
"426","Ziguinchor","Oussouye","Cabrousse","Santhiaba Manjacque"
"427","Ziguinchor","Oussouye","Loudia Ouolof","Mlomp"
"428","Ziguinchor","Oussouye","Loudia Ouolof","Oukout"
"429","Ziguinchor","Ziguinchor","Niaguis","Adeane"
"430","Ziguinchor","Ziguinchor","Niaguis","Boutoupa Camara Counda"
"431","Ziguinchor","Ziguinchor","Niaguis","Niaguis"
"432","Ziguinchor","Ziguinchor","Nyassia","Enampore"
"433","Ziguinchor","Ziguinchor","Nyassia","Nyassia"
